state,value
Alabama,8.7
Alaska,0
Arizona,1.6
Arkansas,24.7
California,9.6
Colorado,16.1
Connecticut,4
Delaware,35.1
District of Columbia,0
Florida,8.3
Georgia,11.9
Hawaii,9.1
Idaho,11
Illinois,67.4
Indiana,55.4
Iowa,74.7
Kansas,54.6
Kentucky,25.2
Louisiana,16.6
Maine,2
Maryland,22.2
Massachusetts,3
Michigan,21.5
Minnesota,44.1
Mississippi,17.2
Missouri,35.5
Montana,17.8
Nebraska,44.5
Nevada,0.8
New Hampshire,1.6
New Jersey,9.5
New Mexico,2.5
New York,14.1
North Carolina,14.4
North Dakota,61.4
Ohio,41.4
Oklahoma,25.7
Oregon,7.6
Pennsylvania,15.8
Rhode Island,3.8
South Carolina,9.9
South Dakota,39.9
Tennessee,19.9
Texas,17.5
Utah,2.8
Vermont,7
Virginia,11.8
Washington,17.7
West Virginia,5.1
Wisconsin,29.1
Wyoming,3.2
