state,value
Alabama,70.3
Alaska,25.1
Arizona,17.9
Arkansas,55.7
California,17.0
Colorado,22.8
Connecticut,43.4
Delaware,26.5
District of Columbia,0.0
Florida,46.1
Georgia,66.2
Hawaii,31.6
Idaho,31.7
Illinois,13.4
Indiana,20.7
Iowa,8.3
Kansas,4.6
Kentucky,47.0
Louisiana,53.0
Maine,87.1
Maryland,37.5
Massachusetts,41.8
Michigan,53.2
Minnesota,31.3
Mississippi,64.9
Missouri,34.3
Montana,19.8
Nebraska,3.0
Nevada,7.7
New Hampshire,75.8
New Jersey,23.7
New Mexico,17.1
New York,52.8
North Carolina,58.1
North Dakota,1.2
Ohio,30.1
Oklahoma,17.4
Oregon,39.3
Pennsylvania,56.7
Rhode Island,43.8
South Carolina,67.7
South Dakota,3.7
Tennessee,51.2
Texas,8.6
Utah,18.7
Vermont,75.9
Virginia,60.9
Washington,42.5
West Virginia,76.6
Wisconsin,48.3
Wyoming,11.3
