state,value
Alabama,8.9
Alaska,0.2
Arizona,59.9
Arkansas,12.4
California,26.7
Colorado,47.8
Connecticut,0.7
Delaware,1.5
District of Columbia,0.0
Florida,14.9
Georgia,4.6
Hawaii,18.7
Idaho,34.8
Illinois,4.9
Indiana,7.2
Iowa,8.1
Kansas,34.0
Kentucky,18.8
Louisiana,8.2
Maine,0.8
Maryland,7.2
Massachusetts,1.6
Michigan,5.5
Minnesota,7.0
Mississippi,9.0
Missouri,22.3
Montana,51.1
Nebraska,48.2
Nevada,74.5
New Hampshire,2.0
New Jersey,1.7
New Mexico,70.0
New York,7.9
North Carolina,5.1
North Dakota,30.2
Ohio,8.2
Oklahoma,45.0
Oregon,38.8
Pennsylvania,4.5
Rhode Island,1.1
South Carolina,5.1
South Dakota,51.5
Tennessee,13.0
Texas,62.6
Utah,62.3
Vermont,5.2
Virginia,11.1
Washington,17.2
West Virginia,8.8
Wisconsin,8.3
Wyoming,74.2
