state,value
Alabama,3.0
Alaska,34.6
Arizona,2.2
Arkansas,0.5
California,16.3
Colorado,0.5
Connecticut,2.9
Delaware,3.5
District of Columbia,0.0
Florida,1.5
Georgia,3.4
Hawaii,10.3
Idaho,9.6
Illinois,0.7
Indiana,4.1
Iowa,1.7
Kansas,1.7
Kentucky,0.4
Louisiana,10.2
Maine,5.9
Maryland,2.9
Massachusetts,0.3
Michigan,5.8
Minnesota,5.8
Mississippi,2.9
Missouri,0.2
Montana,3.5
Nebraska,0.5
Nevada,0.2
New Hampshire,2.6
New Jersey,1.8
New Mexico,1.0
New York,2.9
North Carolina,3.7
North Dakota,3.1
Ohio,4.4
Oklahoma,5.9
Oregon,6.4
Pennsylvania,2.7
Rhode Island,0.0
South Carolina,3.9
South Dakota,0.7
Tennessee,1.0
Texas,4.1
Utah,3.6
Vermont,1.8
Virginia,2.3
Washington,1.0
West Virginia,0.1
Wisconsin,4.1
Wyoming,1.0
