state,value
Alabama,4.5
Alaska,40.0
Arizona,16.4
Arkansas,4.5
California,25.0
Colorado,11.2
Connecticut,11.0
Delaware,11.4
District of Columbia,0.0
Florida,15.0
Georgia,5.3
Hawaii,24.1
Idaho,12.4
Illinois,6.4
Indiana,5.3
Iowa,5.5
Kansas,3.9
Kentucky,4.9
Louisiana,7.3
Maine,3.1
Maryland,9.1
Massachusetts,14.5
Michigan,7.5
Minnesota,9.7
Mississippi,3.4
Missouri,4.7
Montana,7.6
Nebraska,3.2
Nevada,16.0
New Hampshire,10.6
New Jersey,23.2
New Mexico,8.7
New York,13.5
North Carolina,8.9
North Dakota,3.8
Ohio,4.9
Oklahoma,4.0
Oregon,6.8
Pennsylvania,9.6
Rhode Island,12.3
South Carolina,5.2
South Dakota,3.9
Tennessee,7.6
Texas,3.8
Utah,11.5
Vermont,8.4
Virginia,7.1
Washington,17.9
West Virginia,6.8
Wisconsin,6.8
Wyoming,10.2
